,Valoración equipo actual,Mejor valoración individual,Ataque,Regate,Aceleración,Potencia tiro,Agresividad,Defensa,Portería
0,70,64,63,62,77,60,30,35,13
1,79,64,37,32,55,42,59,59,7
2,77,64,44,38,59,53,69,57,8
3,69,65,42,60,66,60,69,54,9
4,75,64,56,69,70,60,44,41,15
5,85,64,45,51,39,73,60,59,10
6,74,64,41,63,76,59,25,17,10
7,68,64,55,63,71,66,45,44,10
8,68,64,27,32,64,37,58,62,8
9,85,64,36,56,62,49,66,61,6
10,65,63,60,62,83,58,39,24,13
11,74,64,42,62,61,64,66,56,12
12,64,64,42,68,82,67,42,35,6
13,75,64,35,50,67,38,64,58,13
14,79,64,51,69,74,53,40,30,7
15,63,64,31,57,68,63,53,28,10
16,66,65,51,65,72,52,45,41,14
17,70,64,30,40,71,36,60,64,14
18,69,63,37,56,65,64,46,13,6
19,78,62,51,59,64,68,62,58,13
20,72,63,52,65,65,69,64,54,9
21,69,61,59,57,76,42,57,54,10
22,70,63,42,54,69,57,39,18,14
23,78,62,60,74,72,56,27,27,13
24,76,63,54,59,73,59,43,41,5
25,85,62,53,64,77,55,38,22,13
26,84,63,42,70,53,53,37,31,9
27,80,63,58,62,72,59,40,40,14
28,76,64,37,65,69,67,43,34,13
29,72,62,33,62,63,55,55,22,14
30,70,63,52,62,66,62,48,46,8
31,80,61,50,70,65,55,39,22,12
32,77,64,49,64,69,60,52,49,15
33,79,60,59,63,62,33,54,52,11
34,81,62,46,62,62,65,61,45,8
35,78,62,45,58,63,63,69,44,15
36,72,62,46,68,68,58,21,18,7
37,66,62,30,55,57,47,53,55,13
38,84,62,39,39,63,47,57,55,8
39,81,62,44,44,83,33,56,53,12
40,74,61,49,62,87,64,50,30,10
41,72,61,42,52,56,62,31,22,11
42,71,60,62,70,67,40,32,25,7
43,68,60,58,59,76,32,60,51,10
44,84,63,60,61,73,53,60,59,14
45,69,59,54,54,73,21,53,61,8
46,81,62,47,67,66,58,56,49,6
47,66,63,54,68,86,55,34,53,13
48,64,60,48,62,81,55,42,55,8
49,68,59,53,62,70,54,35,23,6
50,76,60,40,57,70,56,45,14,9
51,78,61,61,73,74,48,45,54,5
52,77,59,41,59,64,61,34,14,12
53,67,56,14,13,40,47,23,13,61
54,78,57,37,32,55,47,51,50,11
